,sentimentScore_Vader,sentimentScore_TextBlob,upper,punctuation,hastags,airline_sentiment
3962,0.3378,0.22777777777777777,0,1,1,negative
76,0.3612,0.0,0,0,0,positive
1696,0.5994,0.6,0,0,1,positive
2025,0.3612,0.0,0,0,0,positive
1058,0.3612,0.0,0,0,0,positive
4992,-0.1531,0.4,1,0,0,neutral
6395,0.0,0.45,1,0,0,neutral
2154,0.4404,0.2,0,0,0,positive
4779,-0.128,0.0,1,0,0,neutral
6724,0.4019,0.0,2,0,0,neutral
3345,-0.8225,-0.36666666666666664,1,0,0,negative
4951,0.5542,0.08409090909090909,3,0,0,neutral
3432,0.3182,-0.05,0,0,1,negative
1092,0.4926,0.25,0,1,0,positive
2988,-0.5859,-0.20833333333333334,0,0,0,negative
4836,0.34,0.0,0,0,1,neutral
1559,0.4019,0.05,1,0,1,positive
1001,0.7836,0.3611111111111111,0,1,0,positive
5524,0.0,0.0,0,0,0,neutral
487,0.8975,0.5416666666666666,2,2,0,positive
1690,0.4215,0.0,0,0,0,positive
235,0.4588,0.2333333333333333,1,0,0,positive
4622,-0.6249,0.0,1,0,0,negative
3395,0.4404,0.16666666666666666,0,0,0,negative
2487,-0.3802,0.0,0,1,0,negative
715,0.4404,0.2,0,0,1,positive
6295,0.0,0.2,2,0,0,neutral
677,0.024,0.45,1,0,0,positive
5597,0.0,-0.125,0,0,0,neutral
6181,0.4215,0.0,1,0,0,neutral
5220,0.25,-0.1,2,0,0,neutral
850,0.784,1.0,1,1,1,positive
4007,-0.7783,-0.5,0,0,0,negative
1533,0.0,0.0,0,0,1,positive
6502,0.0,0.0,1,0,0,neutral
5361,0.3612,0.0,0,0,0,neutral
4844,0.0,0.0,0,1,2,neutral
493,0.6588,-0.09,0,1,0,positive
6996,0.6597,0.9,0,0,0,neutral
543,0.8745,0.5416666666666666,1,2,0,positive
4777,-0.2732,0.0,1,0,4,neutral
3468,0.7845,0.5,0,0,0,negative
6372,-0.4019,-0.25,0,0,0,neutral
6393,0.0,0.0,1,1,1,neutral
5119,0.0,0.0,0,0,0,neutral
932,0.4926,0.25,0,1,0,positive
2617,0.5994,0.4454545454545455,0,0,1,negative
4896,0.0,0.0,0,0,0,neutral
2315,0.0,0.0,1,1,1,positive
4446,0.0772,0.0,0,0,0,negative
1052,0.0,0.0,1,0,0,positive
2484,-0.7424,-0.24431818181818182,0,1,1,negative
3259,-0.1306,0.5428571428571429,0,0,1,negative
1427,0.7263,0.2,0,1,0,positive
3401,-0.7783,-0.35,1,0,0,negative
2259,0.765,0.5,0,0,0,positive
5408,0.0772,0.7,0,0,1,neutral
6414,-0.296,-0.2,1,0,0,neutral
6438,-0.3182,0.0,1,0,0,neutral
4453,-0.5574,-0.25,0,0,0,negative
4282,-0.5719,0.0,1,0,0,negative
1377,0.5399,0.25,1,2,0,positive
2510,-0.1027,0.0,0,0,0,negative
5752,0.4019,0.0,0,0,0,neutral
4814,0.0,0.0,0,0,0,neutral
4255,-0.25,0.0,1,0,0,negative
5145,-0.25,0.0,1,0,0,neutral
1070,0.0,0.14285714285714285,0,0,0,positive
1455,0.6537,0.2875,2,0,2,positive
927,0.6369,1.0,0,0,0,positive
2649,-0.6597,-0.16666666666666666,1,0,0,negative
899,0.5229,-0.24999999999999992,0,3,1,positive
4876,0.0,0.0,1,0,0,neutral
5514,0.0,0.0,1,0,0,neutral
5764,0.4753,0.0,0,1,3,neutral
1071,0.0,0.0,0,0,0,positive
1630,0.7351,1.0,0,0,0,positive
2292,0.8074,0.2,1,0,0,positive
2020,0.5994,0.6,1,0,0,positive
3002,0.0,0.0,0,1,0,negative
3157,0.4939,0.0,1,0,0,negative
851,0.8172,0.875,1,1,0,positive
142,0.0,0.0,0,1,0,positive
5711,0.0276,-0.75,0,0,2,neutral
4352,0.5423,0.0,1,0,0,negative
347,0.4101,0.0,2,0,0,positive
6228,0.296,0.0,2,0,0,neutral
5799,0.0,0.0,0,0,0,neutral
5890,0.0,0.0,0,1,0,neutral
6610,0.7579,0.0,0,0,0,neutral
94,0.6249,0.35,0,0,0,positive
1099,0.908,0.33333333333333337,2,1,1,positive
1779,0.6981,0.0,2,3,0,positive
3289,0.7777,-0.625,1,1,0,negative
7034,0.4926,0.225,0,1,0,neutral
3214,0.5209,0.0,2,0,0,negative
3197,0.0,0.8,0,0,0,negative
2883,0.1027,0.22222222222222218,0,0,0,negative
2100,0.0,0.0,1,0,0,positive
1352,0.8658,0.6,1,0,0,positive
77,0.7639,0.0,1,2,1,positive
6676,0.0,0.0,1,0,0,neutral
5125,0.0,0.0,0,0,0,neutral
2839,-0.8609,-0.6666666666666666,0,0,0,negative
305,0.8074,0.1,0,0,0,positive
855,0.9131,0.36333333333333334,1,3,0,positive
1552,0.5859,0.6000000000000001,1,0,0,positive
5510,0.0,0.0,0,0,0,neutral
5568,0.5423,0.0,1,0,0,neutral
6490,0.1901,-0.15555555555555559,0,0,0,neutral
6673,0.0,0.0,2,0,0,neutral
3572,0.0,0.0,1,0,0,negative
795,0.8016,0.5787878787878787,0,0,0,positive
3068,-0.25,0.0,0,0,0,negative
4977,-0.587,-0.15625,1,1,0,neutral
7033,0.3818,0.25,2,0,0,neutral
1175,0.2105,0.25,1,2,0,positive
6773,-0.1027,0.5,1,0,0,neutral
4523,0.4767,0.0,1,0,0,negative
5306,0.0,-0.125,2,0,0,neutral
6106,0.4404,0.7,0,0,0,neutral
6023,0.3182,0.4,2,0,0,neutral
6776,0.0,0.0,1,0,0,neutral
902,0.6369,0.3,2,0,0,positive
6352,0.6486,-0.2,0,0,0,neutral
8,0.6597,0.2,0,0,0,positive
4000,0.0,0.2,0,0,0,negative
125,0.3612,0.1,0,0,0,positive
968,0.3612,0.0,0,0,0,positive
5336,0.0,0.0,0,0,0,neutral
6732,0.6548,0.0,2,1,0,neutral
6263,0.5859,0.06666666666666667,2,0,0,neutral
2664,0.0,0.0,2,0,0,negative
4191,-0.5106,-0.2625,4,0,0,negative
6927,0.6476,0.0,0,1,1,neutral
4504,0.4404,-0.075,1,0,0,negative
3183,0.3071,0.0,2,2,1,negative
3036,0.0,0.0,2,1,0,negative
1660,0.4559,0.75625,1,2,0,positive
2441,0.0,0.5,1,0,0,negative
4641,-0.2672,-0.25,0,0,0,negative
3394,-0.5719,-1.0,0,0,0,negative
5393,0.0,0.0,1,0,2,neutral
3205,-0.6908,-0.14285714285714285,0,0,1,negative
5749,-0.4019,0.0,5,0,0,neutral
5284,0.25,0.0,2,0,1,neutral
3411,-0.2263,0.2857142857142857,0,0,0,negative
6347,0.5908,-0.09583333333333333,1,0,0,neutral
85,0.3182,0.35,0,0,0,positive
2055,0.765,0.1,0,0,0,positive
1667,0.7717,0.5214285714285714,0,0,0,positive
3875,-0.3182,-0.5,1,0,0,negative
1649,0.784,1.0,0,1,0,positive
2255,0.858,0.628125,1,4,3,positive
2164,0.8805,0.43333333333333335,0,1,0,positive
4700,0.3182,0.1,0,0,0,negative
322,0.6705,0.2,0,0,0,positive
5032,0.0,0.05,0,0,0,neutral
6504,0.3637,-0.1875,0,0,0,neutral
3365,-0.6917,0.0,0,0,0,negative
5133,0.0,-0.12000000000000001,0,0,1,neutral
5896,0.0772,0.1875,0,0,0,neutral
3373,-0.5859,-1.0,1,0,0,negative
4369,0.0,0.0,0,0,0,negative
2068,0.5563,0.4055555555555556,0,0,0,positive
1668,0.0,0.0,2,0,0,positive
4411,0.2263,0.0,0,0,2,negative
6478,0.4723,0.0,1,0,0,neutral
1792,0.508,0.4375,0,2,0,positive
4262,0.128,0.0,2,0,0,negative
6154,-0.5719,-0.3166666666666667,1,0,0,neutral
6253,0.296,0.5,2,0,0,neutral
6518,0.5423,-0.2,2,0,0,neutral
1626,0.4019,0.13333333333333333,3,0,1,positive
1182,0.4404,0.2,0,0,0,positive
4894,0.0,0.0,0,0,0,neutral
354,0.743,0.5533333333333333,3,0,1,positive
6065,0.3612,0.0,1,0,0,neutral
433,0.5994,0.375,0,0,0,positive
4873,0.7003,0.25,1,0,0,neutral
2215,0.0,0.0,1,0,3,positive
169,0.9117,0.39999999999999997,3,0,0,positive
786,0.4926,0.125,2,1,0,positive
6235,0.0,0.0,1,0,0,neutral
2595,-0.6956,-0.4124999999999999,0,0,0,negative
6211,0.5106,0.6000000000000001,0,0,2,neutral
1048,0.8002,0.9,1,4,0,positive
3919,0.2462,-0.04375000000000001,1,2,0,negative
6538,0.0,0.0,0,0,0,neutral
556,0.6705,0.20890151515151517,0,0,0,positive
4387,0.0,-0.3,0,0,0,negative
5865,0.7696,1.0,0,4,0,neutral
4236,-0.5423,-0.5,2,0,0,negative
2401,0.0,0.2,0,0,0,negative
1267,0.4588,0.5,0,0,0,positive
6128,0.0,0.0,0,0,0,neutral
2661,-0.6249,-0.45,0,0,0,negative
3686,0.0,0.0,0,0,0,negative
3941,0.0,-0.125,1,0,1,negative
1790,0.6696,0.4125,0,1,0,positive
1535,0.7871,1.0,2,1,0,positive
656,0.8921,0.25,1,1,0,positive
1864,0.0,0.25,0,0,0,positive
3737,0.2263,0.5,3,0,0,negative
218,0.8016,0.4875,0,1,0,positive
1119,0.0,0.25,0,2,0,positive
365,0.6588,0.24375000000000002,0,1,0,positive
2168,0.8268,0.625,0,1,0,positive
1214,0.923,0.2833333333333333,0,1,0,positive
163,0.6114,0.2,2,1,0,positive
5253,0.0,0.0,0,0,1,neutral
652,0.6617,0.0890625,0,4,2,positive
555,0.4926,0.25,0,1,0,positive
4287,0.5719,0.26666666666666666,1,0,0,negative
3063,-0.3182,0.0,0,0,1,negative
4549,0.0,0.0,0,0,0,negative
1459,0.802,0.25000000000000006,0,0,0,positive
216,0.0,0.0,0,6,0,positive
5486,0.3612,0.0,0,0,0,neutral
5134,0.0,0.0,1,0,0,neutral
1328,0.7618,0.9765625,0,3,0,positive
7059,0.0,-0.17500000000000002,0,0,1,neutral
1022,0.0,0.6,0,0,0,positive
3369,0.0,-0.46875,2,2,1,negative
1374,0.5229,0.0,0,3,0,positive
4455,-0.4215,0.18333333333333335,1,0,0,negative
2929,0.6381,0.1,0,0,0,negative
4545,0.3595,0.09999999999999999,1,1,1,negative
6483,0.0,0.0,1,0,0,neutral
3085,0.0516,0.0,0,0,0,negative
976,0.765,0.5,0,0,1,positive
3551,0.6124,0.0,1,0,0,negative
4456,0.8225,0.4,0,0,0,negative
2846,0.0,-0.15555555555555559,0,0,0,negative
4273,-0.7906,-1.0,2,0,1,negative
5131,0.0,0.45,4,0,0,neutral
3434,0.0258,0.25,0,0,0,negative
1442,0.2263,0.25,1,0,0,positive
5342,-0.5499,0.0,2,0,0,neutral
2992,0.1531,0.0,2,0,0,negative
1739,0.6983,0.35,1,0,1,positive
3358,-0.7579,0.0,0,0,0,negative
1298,0.8856,-0.09722222222222222,0,2,0,positive
3000,-0.6597,0.0,0,0,0,negative
1461,0.9045,0.3,1,1,0,positive
3990,-0.25,0.0,1,0,0,negative
6825,0.3182,0.0,0,0,0,neutral
6477,0.4199,0.0,1,1,0,neutral
5185,-0.128,0.0,1,0,0,neutral
400,0.4404,0.2,1,0,0,positive
4199,-0.4939,-0.06666666666666667,0,0,0,negative
883,0.4404,0.2,0,0,0,positive
2122,0.5719,0.5,1,0,0,positive
5273,0.0,0.0,1,0,0,neutral
548,0.8004,0.8125,2,1,0,positive
2402,-0.3164,0.0,2,1,0,negative
5618,0.4767,-0.08333333333333333,2,0,1,neutral
4754,0.0,0.4,0,0,0,neutral
2045,0.4199,0.0,0,1,0,positive
812,0.0,0.1275,0,1,0,positive
864,0.6846,0.39999999999999997,0,0,0,positive
1564,0.8176,0.26666666666666666,0,0,0,positive
3198,0.0772,0.5,1,0,0,negative
4497,0.646,0.275,1,0,0,negative
6614,0.5837,0.07847222222222222,0,2,1,neutral
3174,0.0,0.0,0,0,0,negative
901,0.7345,0.4,0,1,0,positive
6113,0.0,0.0,1,0,0,neutral
4251,0.257,0.3125,0,1,1,negative
413,0.8439,0.0,1,1,0,positive
3471,0.0,0.0,0,0,0,negative
4784,0.3818,0.0,1,0,0,neutral
3843,-0.4194,0.14999999999999997,1,0,0,negative
5114,-0.5423,-0.2,0,0,0,neutral
922,0.0,0.0,0,0,1,positive
5279,0.0772,0.2,1,0,2,neutral
3393,0.0,0.0,0,0,1,negative
6457,-0.128,0.0,1,0,0,neutral
1126,0.0,0.25,0,0,0,positive
3148,-0.7264,-0.43333333333333335,0,0,0,negative
5202,0.8126,0.0,4,0,0,neutral
6293,0.34,0.0,0,0,0,neutral
359,0.5106,0.15,0,0,0,positive
503,0.4404,0.2,2,0,0,positive
834,-0.1439,0.175,1,1,0,positive
5973,0.296,0.0,3,0,0,neutral
6494,0.0516,0.375,0,0,0,neutral
6641,0.357,0.35,0,0,0,neutral
4102,-0.4939,0.0,2,0,0,negative
6475,0.0,0.0,1,0,0,neutral
4759,0.438,-0.04999999999999999,0,0,0,neutral
372,0.0,0.0,0,1,0,positive
3346,-0.4484,0.5,1,0,0,negative
81,0.6486,0.0,0,0,0,positive
5412,0.6597,0.25,3,0,0,neutral
135,0.5696,0.08712121212121211,1,2,0,positive
298,0.4404,-0.024999999999999994,0,0,0,positive
2172,0.4926,0.225,0,1,0,positive
4609,-0.9199,-0.65,0,0,0,negative
2613,0.0,0.04444444444444446,0,0,0,negative
2961,0.327,-0.22777777777777777,0,0,0,negative
4718,-0.3612,-0.08333333333333333,2,0,0,negative
6833,0.0,0.0,0,0,0,neutral
1306,0.8689,0.0,1,0,0,positive
6935,-0.457,0.04722222222222221,1,2,0,neutral
4137,0.6705,0.5,0,0,0,negative
69,0.636,1.0,0,1,0,positive
4220,0.0,-0.056249999999999994,0,0,0,negative
5310,0.714,0.0,0,0,0,neutral
3445,-0.7574,0.20833333333333334,1,0,0,negative
1544,-0.4588,-0.225,1,0,0,positive
2585,-0.296,0.0,0,0,0,negative
6748,0.4588,0.0,2,0,0,neutral
2653,0.6705,0.4583333333333333,1,0,0,negative
357,0.6476,0.0,1,1,0,positive
2285,0.8257,0.5,9,10,0,positive
1278,0.0,0.0,0,0,0,positive
464,0.0,-0.19444444444444448,0,1,2,positive
5982,0.7579,0.0,2,0,3,neutral
1212,0.3612,0.0,0,0,0,positive
4723,0.3612,0.0,0,0,0,negative
7012,0.0,0.0,1,0,1,neutral
4859,0.0,0.0,0,0,1,neutral
4707,0.3701,-0.3,0,0,0,negative
4904,0.4215,0.0,2,0,0,neutral
3987,0.0,0.0,0,0,0,negative
3796,-0.3182,-0.15,0,0,0,negative
794,0.8826,0.5666666666666667,0,1,0,positive
507,0.2695,-0.125,2,2,0,positive
2200,0.6666,0.2,0,0,0,positive
1573,0.0087,0.7,0,0,1,positive
5081,0.0,0.0,0,0,0,neutral
3771,0.0,0.0,0,0,0,negative
1297,0.8313,0.875,0,1,1,positive
2856,-0.4767,0.25,0,0,0,negative
1566,-0.403,0.0,1,2,0,positive
5661,0.0,0.0,0,0,0,neutral
6070,0.4199,0.0,0,1,0,neutral
5766,0.7096,0.0,2,0,0,neutral
6294,0.3182,0.21103896103896103,1,0,0,neutral
3459,0.2144,0.0,2,0,0,negative
2092,0.4939,0.2,2,0,0,positive
1498,0.7506,0.1875,3,0,0,positive
1481,0.4215,0.0,0,0,1,positive
2840,-0.4389,0.0,1,1,4,negative
534,0.0,0.5,2,0,0,positive
7021,0.0772,0.0,1,0,0,neutral
3239,-0.797,-1.0,1,0,1,negative
5832,0.0,-0.2,0,0,0,neutral
2538,-0.4767,0.050000000000000044,1,0,0,negative
2444,-0.6808,0.0,0,0,0,negative
2465,-0.5106,-0.14583333333333331,0,0,0,negative
4395,0.2732,-0.1,0,0,0,negative
5655,0.0,0.0,1,0,0,neutral
455,0.0,0.6666666666666666,0,0,3,positive
2231,0.4199,0.0,1,1,0,positive
5318,0.5106,0.0,0,0,0,neutral
6766,0.5859,0.0,0,0,1,neutral
1763,0.7263,0.26875,0,1,0,positive
4347,0.0,0.0,0,0,0,negative
3490,0.0,0.0,1,0,0,negative
862,0.8271,0.22727272727272727,0,0,0,positive
4524,-0.6449,-0.26249999999999996,2,0,0,negative
5574,0.0,0.0,0,0,1,neutral
2862,-0.4215,0.0,2,0,0,negative
1539,0.7506,0.2,0,0,0,positive
258,0.7151,0.55,3,2,0,positive
3199,0.1761,0.065625,2,0,0,negative
6243,0.4404,0.2,2,0,0,neutral
3555,-0.128,0.1,1,0,0,negative
4074,-0.296,0.1,1,0,0,negative
871,0.7067,0.34010416666666665,3,4,0,positive
3448,0.1655,0.0,0,0,0,negative
2687,0.0009,0.060416666666666646,1,0,0,negative
5495,0.0,0.0,0,0,0,neutral
390,0.0,0.5,0,0,2,positive
6257,0.0,0.0,0,0,0,neutral
6391,0.0,0.0,0,0,0,neutral
3590,-0.7263,-0.875,1,1,0,negative
749,0.6696,0.9,2,1,0,positive
811,0.4199,0.0,0,1,0,positive
2080,0.7717,0.21212121212121213,0,0,0,positive
4749,0.0,0.0,0,0,0,neutral
698,0.7821,0.6,3,7,0,positive
1508,0.802,0.5,0,0,3,positive
4418,0.1901,-0.15,0,0,0,negative
4802,0.0,0.0,0,0,1,neutral
3556,-0.296,0.08409090909090909,0,0,0,negative
4879,0.0772,0.0,0,0,0,neutral
2320,0.7878,0.16666666666666666,0,0,0,positive
2485,-0.5413,-0.78,0,0,0,negative
5489,0.0772,0.0,1,0,0,neutral
6987,0.3182,0.0,1,0,0,neutral
6593,0.0,0.0,0,0,0,neutral
301,0.6249,0.1,2,0,0,positive
6139,0.2755,0.0,0,0,0,neutral
5025,0.34,0.0,0,0,0,neutral
541,0.4574,0.4375,0,1,0,positive
2837,0.0,0.0,1,1,0,negative
2899,-0.7783,-0.7250000000000001,3,0,2,negative
3476,0.1007,0.625,1,1,0,negative
5006,0.0,0.0,3,0,0,neutral
3714,-0.7819,-0.07738095238095238,0,0,0,negative
6569,0.4019,0.35714285714285715,1,0,0,neutral
6759,0.0,0.0,1,0,0,neutral
3159,-0.3724,0.0,2,0,0,negative
6679,0.0,0.13636363636363635,0,0,0,neutral
6562,0.0,0.0,1,0,0,neutral
2239,0.7761,0.2866666666666667,1,0,0,positive
6549,0.0,0.0,1,0,0,neutral
4871,0.0,0.0,2,1,1,neutral
5096,0.7574,0.4833333333333334,0,1,0,neutral
2280,0.8429,0.4375,2,5,0,positive
4574,-0.3578,0.0,0,2,0,negative
501,0.4404,1.0,0,0,0,positive
4735,0.25,0.0,1,0,0,neutral
5551,0.0,0.0,0,0,0,neutral
4002,0.6767,-0.06666666666666665,0,0,0,negative
5055,-0.0772,-0.5,2,0,0,neutral
5833,0.4588,0.5,0,0,0,neutral
6410,0.3612,0.0,0,0,0,neutral
6536,0.5719,0.5,0,0,0,neutral
5150,0.7959,0.625,0,1,0,neutral
6805,-0.25,0.0,4,0,0,neutral
6011,0.3182,0.0,3,0,1,neutral
709,0.4574,0.0,1,1,0,positive
6678,0.4588,0.5,0,0,1,neutral
3317,0.6652,0.3,1,0,0,negative
1595,0.4588,0.13636363636363635,0,0,0,positive
4314,0.0,0.0,1,0,0,negative
2853,0.0,0.0,0,1,0,negative
3532,0.7783,0.8,0,0,1,negative
6362,0.4389,-0.48750000000000004,1,1,0,neutral
4052,-0.717,-0.375,0,2,0,negative
1475,0.8519,0.65,2,0,0,positive
58,0.9169,0.65,0,0,0,positive
2030,0.0,0.0,0,2,0,positive
6582,0.0772,0.0,1,0,0,neutral
2232,0.4404,0.1,1,0,0,positive
215,0.8122,0.3,0,1,0,positive
1380,0.1779,0.24285714285714285,2,0,2,positive
6225,-0.34,-0.04999999999999999,0,0,0,neutral
4212,-0.7193,0.175,1,1,0,negative
4017,-0.0072,0.2090909090909091,1,0,0,negative
4304,-0.7399,-0.25,0,0,0,negative
3072,0.2732,0.0,2,0,0,negative
2316,0.4199,0.0,0,1,2,positive
1452,0.7003,0.2,0,0,0,positive
1515,0.2384,0.3333333333333333,2,0,0,positive
405,0.3612,0.0,3,0,0,positive
4934,-0.296,0.0,0,0,0,neutral
3492,-0.0772,-0.375,0,0,0,negative
6032,0.4215,0.0,0,0,1,neutral
6810,0.0772,0.125,0,0,0,neutral
3710,-0.0258,0.0,1,0,0,negative
561,0.7177,0.625,2,1,0,positive
7049,0.549,-0.27499999999999997,1,2,0,neutral
2076,0.7717,1.0,0,0,1,positive
2300,0.9042,0.6166666666666667,0,0,2,positive
5879,0.4215,0.8,0,0,0,neutral
5176,0.3182,0.1,0,0,0,neutral
1201,0.7184,0.7,0,0,0,positive
4046,-0.4588,-0.15,1,0,0,negative
4664,0.6705,0.0,0,0,2,negative
1942,0.7345,0.625,3,1,0,positive
1280,0.8832,0.71875,1,1,0,positive
6755,0.7003,0.36875,0,0,0,neutral
1340,0.0,0.0,0,0,0,positive
4847,0.0,0.0,1,1,0,neutral
1907,0.65,0.425,1,0,0,positive
4962,0.0,0.0,0,0,0,neutral
1789,0.3182,0.2,1,0,0,positive
2897,-0.9013,-0.4458333333333333,0,0,0,negative
338,0.3382,-0.029761904761904767,0,1,0,positive
1590,0.4939,0.0,0,0,0,positive
5110,0.0,-0.025,2,0,0,neutral
3778,0.5106,0.6,0,0,0,negative
1235,0.6996,0.45,1,1,0,positive
6911,0.0,0.0,0,0,1,neutral
5636,0.1386,0.625,4,1,0,neutral
5541,0.0,-0.05,0,0,0,neutral
1287,0.8658,0.3590909090909091,0,0,0,positive
1505,0.92,0.625,0,1,0,positive
4263,-0.5267,0.0,3,0,0,negative
6994,-0.25,0.0,1,0,0,neutral
1639,0.7707,0.3125,0,2,2,positive
3485,-0.3736,0.0,5,0,0,negative
6545,0.3182,0.0,2,0,0,neutral
4224,-0.2401,0.1,1,0,1,negative
5955,0.6808,0.10277777777777779,0,0,1,neutral
1127,0.6705,0.3333333333333333,0,0,0,positive
6064,0.3612,0.0,0,0,1,neutral
3483,-0.5859,0.0,0,0,2,negative
6844,0.4404,0.2,0,0,0,neutral
2870,0.2263,0.0,0,0,0,negative
6419,0.5848,0.0,0,1,0,neutral
692,0.5175,0.3125,2,1,0,positive
4328,0.0,0.0,0,0,1,negative
657,0.8402,0.2,0,0,0,positive
3329,-0.5582,-1.0,1,14,0,negative
662,0.3612,0.7,0,0,0,positive
99,0.3612,0.0,0,0,0,positive
3222,-0.3612,0.25,3,0,0,negative
6791,0.0,0.0,0,2,0,neutral
6348,0.6476,-0.25,0,1,3,neutral
4354,0.0,-0.0625,2,0,1,negative
3817,-0.4404,0.1375,0,0,0,negative
6272,0.296,0.0,0,0,0,neutral
1424,0.4926,0.875,0,1,1,positive
2562,0.0,0.03125,1,2,0,negative
7082,0.8858,0.37500000000000006,1,1,1,neutral
466,0.8176,0.4666666666666666,0,0,0,positive
5743,0.0,0.0,0,0,0,neutral
3263,0.25,0.35,1,0,0,negative
6170,0.2263,0.25,0,0,0,neutral
4120,-0.7506,-0.15555555555555556,0,0,0,negative
4888,0.0,0.0,0,1,0,neutral
779,0.7564,0.23333333333333334,0,0,0,positive
710,0.4926,0.25,0,1,0,positive
7088,0.0,0.0,0,1,0,neutral
5163,0.0,0.0,1,0,0,neutral
1053,0.7096,0.2333333333333333,1,0,0,positive
6242,0.6767,1.0,2,0,0,neutral
2716,0.357,-0.22,1,0,0,negative
6111,0.0,0.0,0,0,0,neutral
6222,0.0,0.0,0,0,0,neutral
6089,0.1531,0.4000000000000001,1,0,0,neutral
1141,0.3612,0.0,0,0,0,positive
3025,-0.4133,0.13636363636363635,0,0,0,negative
3498,0.0,0.0,0,0,0,negative
4932,0.0,0.0,1,0,0,neutral
246,0.6209,0.48828125,0,4,0,positive
2619,-0.296,0.15416666666666667,0,0,0,negative
