,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
8789,567846268090740737,positive,1.0,,,Delta,,TriRacer429,,0,@JetBlue I agree!!!  If only there was a frequent tweeter discount so I could fly to see more friends! 😀@Tinman2IronMan @meggersrocks,,2015-02-17 16:41:15 -0800,"Arlington, Virginia ",
2762,568916446710857728,positive,1.0,,,United,,CEUGRATN,,0,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!,,2015-02-20 15:33:45 -0800,,Central Time (US & Canada)
854,570050891929280512,positive,1.0,,,United,,thetonyblank,,0,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..","[38.9470207, -77.4511745]",2015-02-23 18:41:38 -0800,"Denver, CO",Eastern Time (US & Canada)
9629,569771711408644096,positive,1.0,,,US Airways,,jakenemmasmom,,0,@USAirways on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.,,2015-02-23 00:12:16 -0800,,
277,568890074164809728,positive,0.6776,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),,2015-02-20 13:48:57 -0800,Follow/Retweet for giveaways!,
4728,569895187746418688,positive,1.0,,,Southwest,,vangdfang,,0,"@SouthwestAir @matthewebel And this is why I love flying Southwest. Excellent service, and you don't take yourselves too seriously!",,2015-02-23 08:22:55 -0800,"Overland Park, KS",Central Time (US & Canada)
8702,567947508208377858,positive,0.6764,,0.0,Delta,,JJBarraza,,0,@JetBlue Finally taking off! LAS-FLL-SJU #letsgo,,2015-02-17 23:23:32 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
6349,568037842838024192,positive,1.0,,,Southwest,,AndreaPark20,,0,@SouthwestAir for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉,,2015-02-18 05:22:30 -0800,,Quito
4988,569571448412438528,positive,1.0,,,Southwest,,SamPalazzolo,,0,@SouthwestAir Way to go flying out of Denver today! Must be the only airline not Cancelled Flighting/delaying flights! #FlySWA #denverairport,,2015-02-22 10:56:30 -0800,"San Diego, CA USA",Pacific Time (US & Canada)
10796,568869609622904832,positive,1.0,,,US Airways,,liamkraz,,0,@USAirways Shavon at customer service desk in Charlotte was fantastic! So helpful and smiling evn after what sounds like long day.Reward her,,2015-02-20 12:27:38 -0800,Arlington Va,Quito
7289,569686267354599426,positive,0.6831,,,Delta,,bonniebethburke,,0,"@JetBlue pilot: ""Don't worry folks there's a backup for the backup for every part of this plane."" Thanks guy",,2015-02-22 18:32:45 -0800,Austin + Brooklyn,Eastern Time (US & Canada)
14278,569642757767081984,positive,1.0,,,American,,DanielLassman,,0,@AmericanAir Thank you. Good suggestion. I checked and we were not rebooked. We'll keep checking and looking for other flights,,2015-02-22 15:39:51 -0800,"Ocean Ridge, FL",Eastern Time (US & Canada)
6838,570208115205021696,positive,0.6811,,,Delta,,jannasaurusrex,,0,"“@JetBlue: @jannasaurusrex Thanks for the kind words, Janna! #WeAppreciateYou #TrueBlue” and now I'M feeling like a boss #jetbluefame",,2015-02-24 05:06:23 -0800,central mass,
9758,569679976053805056,positive,1.0,,,US Airways,,JonTechie,,0,"@USAirways @AmericanAir major issues getting out of Boston, but your crew has been exceptional. Let's see how things roll out in Philly.",,2015-02-22 18:07:45 -0800,USA,Mountain Time (US & Canada)
11292,568234992557527040,positive,1.0,,,US Airways,,MarisaCavanaugh,,0,@usairways 4 flights in 48hrs &amp; I've had the same flight attendant for 3 of those flights. Freaky coincidence! Plus side she's great. :),,2015-02-18 18:25:54 -0800,NYC,Eastern Time (US & Canada)
7880,569121160149012480,positive,1.0,,,Delta,,mike_baskin,,0,"@JetBlue thanks for getting me to Boston early for @TuftsEnergyConf ""Breaking Barriers To a Clean Energy Future""",,2015-02-21 05:07:12 -0800,"Cambridge, MA",
7483,569573843825790976,positive,1.0,,,Delta,,artburkart,,0,@JetBlue's flight Flight Booking Problems experience is pretty great!,,2015-02-22 11:06:01 -0800,Boston,London
6081,568274752864948224,positive,0.6634,,,Southwest,,sounddspainfull,,0,@SouthwestAir can i get tiks for #DestinationDragons omg id love to! Plz 😱❤️im dying,,2015-02-18 21:03:53 -0800,,Santiago
347,568525368572817408,positive,1.0,,,Virgin America,,graveyardtravel,,0,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",,2015-02-19 13:39:45 -0800,"Portland, Oregon",Tijuana
6371,567907935331971072,positive,0.685,,,Southwest,,Georga46,,0,@SouthwestAir you are the #Official airlines of #DivadaPouch aka #ThePoopQueen http://t.co/XXY2d2iMnP,,2015-02-17 20:46:17 -0800,"Clover, SC",Eastern Time (US & Canada)
9399,569950482665308160,positive,1.0,,,US Airways,,EmmaJLogue,,0,"@USAirways - thanks, I hope so. Maybe you can put in a good word for me? ;-)",,2015-02-23 12:02:38 -0800,,Eastern Time (US & Canada)
8653,568078149231067136,positive,1.0,,,Delta,,Rytroup,,0,@JetBlue anything for you. #flyfi http://t.co/8jceDiKY9U,,2015-02-18 08:02:39 -0800,,Quito
3516,568350913858965504,positive,1.0,,,United,,ORIMALAYS,,0,"@united all goods, I'll call tomorrow, thanks.",,2015-02-19 02:06:31 -0800,SYD▫️,Sydney
6046,568416519073468416,positive,1.0,,,Southwest,,susie_easton,,0,"@SouthwestAir aww thanks!! Other than that, love it!","[28.43585235, -81.30356273]",2015-02-19 06:27:13 -0800,"Orlando, Florida",Eastern Time (US & Canada)
4903,569666778030346240,positive,0.6535,,,Southwest,,ScottSusman,,0,"@SouthwestAir Yes, please.",,2015-02-22 17:15:18 -0800,,Central Time (US & Canada)
5014,569542114234671104,positive,1.0,,,Southwest,,ThomasAXMyers,,0,"@SouthwestAir 

Just realized I had the wrong departure date. Thanks for making changes easy!",,2015-02-22 08:59:56 -0800,"Columbus, OH",Eastern Time (US & Canada)
8233,568574897988874240,positive,0.6775,,0.0,Delta,,MsBooya,,0,"@JetBlue no, they're too busy being awesome and trying to get us out ASAP. I'll deal.",,2015-02-19 16:56:33 -0800,,
11805,567751025890709504,positive,0.6727,,0.0,US Airways,,TreyWheelerCEO,,0,@USAirways — I had exceptional service on flight #403 from IND to PHX!!,"[36.08584875, -115.14968355]",2015-02-17 10:22:47 -0800,"Lima, OH",Eastern Time (US & Canada)
11389,568152863962238976,positive,1.0,,,US Airways,,shhashhank,,0,@USAirways surprisingly quick response time by you and them. Thanks!,,2015-02-18 12:59:33 -0800,"Boston, MA | San Jose, CA",Arizona
14511,569605022197153792,positive,0.6593,,,American,,wesleytravis,,0,@AmericanAir my return flight is scheduled on Wednesday; AA138 I believe.  Thanks for the help!,"[44.26313964, -69.78197616]",2015-02-22 13:09:54 -0800,"Webster Groves, MO",
12074,570299252141903873,positive,1.0,,,American,,Mtts28,,0,@AmericanAir This is exactly why ill be flying AA from @Dulles_Airport to Dallas! Only airline I trust!,,2015-02-24 11:08:32 -0800,Virginia,Eastern Time (US & Canada)
4535,570054105789550592,positive,1.0,,,Southwest,,funksway,,0,@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz,,2015-02-23 18:54:24 -0800,"Panama City, Florida",Central Time (US & Canada)
375,568451468560187393,positive,0.6395,,,Virgin America,,EricLMitchell,,0,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,,2015-02-19 08:46:06 -0800,San Francisco,Pacific Time (US & Canada)
10862,568817526823456768,positive,1.0,,,US Airways,,steven_follis,,0,@USAirways Best GAgent in a long time - Danny B. for US628 DFW-CLT. Appreciated how up to date he kept us during irrops. Super professional!,,2015-02-20 09:00:41 -0800,"Charlotte, NC",Eastern Time (US & Canada)
833,570058986025672704,positive,0.6702,,,United,,family6travels,,0,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,,2015-02-23 19:13:48 -0800,,
3689,568185516971204608,positive,1.0,,,United,,od2be2003,,0,"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",,2015-02-18 15:09:18 -0800,"Dallas, TX",Eastern Time (US & Canada)
5606,568870144891600896,positive,0.6822,,,Southwest,,amyums,,0,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,,2015-02-20 12:29:46 -0800,,Central Time (US & Canada)
459,567846970141716481,positive,0.6733,,,Virgin America,,TheAdamRizz,,0,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,,2015-02-17 16:44:02 -0800,"Dallas, Texas",Pacific Time (US & Canada)
7198,569892980712013824,positive,1.0,,,Delta,,EricStrzepek,,0,@JetBlue Mark T.  in Austin was great handling my bag issue.  #thanks,,2015-02-23 08:14:09 -0800,Cape Cod Ma,Eastern Time (US & Canada)
12565,570101803708080128,positive,1.0,,,American,,Luke_Asper,,0,@AmericanAir appreciate it!!,"[32.89959729, -97.03558888]",2015-02-23 22:03:56 -0800,luke.asper@gmail.com,Central Time (US & Canada)
4662,569952317556043776,positive,1.0,,,Southwest,,AnnCompton,,0,@SouthwestAir  Your Terry is our hero! Got my husband back thru security to retrieve cellphone left on plane in Austin. Terry #85832 U Rock!,,2015-02-23 12:09:56 -0800,WashingtonDC,Eastern Time (US & Canada)
8066,568818695562260481,positive,1.0,,,Delta,,TyrellJourdanA,,0,@JetBlue Thanks for the $100 credit because of the 4hr delay. I can tell customer service means a lot to YOU #Thankful,,2015-02-20 09:05:19 -0800,The Eastside of the Far Side,Eastern Time (US & Canada)
7764,569268455314219008,positive,1.0,,,Delta,,CMichaelGibson,,1,@JetBlue Counting on your flight 989 to get to DC!,,2015-02-21 14:52:30 -0800,Harvard Professor & MD,
1686,569625419097313282,positive,1.0,,,United,,BigJosh797,,0,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos.",,2015-02-22 14:30:57 -0800,"Houston, Texas",Central Time (US & Canada)
8899,567766269810581505,positive,1.0,,,Delta,,OBF_Walt,,0,@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_,,2015-02-17 11:23:21 -0800,,
7890,569091378438746112,positive,0.6394,,,Delta,,mutantgatto,,0,@JetBlue word thanks,,2015-02-21 03:08:52 -0800,ravioli,Eastern Time (US & Canada)
7645,569462004332646400,positive,1.0,,,Delta,,suek03,,0,@JetBlue okay thank you! I'll check with them again!,,2015-02-22 03:41:36 -0800,"Austin, TX",Eastern Time (US & Canada)
11027,568605539866976256,positive,1.0,,,US Airways,,ritapitas,,0,@USAirways We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,,2015-02-19 18:58:19 -0800,"Farmington Hills, MI",Eastern Time (US & Canada)
2355,569248843532886016,positive,1.0,,,United,,heygorgevents,,0,@united the upgrade to first class was a nice way to fix your earlier mistake. Thank you!,,2015-02-21 13:34:35 -0800,"Grand Rapids, Michigan",Central Time (US & Canada)
13118,569936251551232000,positive,1.0,,,American,,2lnr,,0,@AmericanAir  CXL flight. rebooked 2 PAX no problems. Thank you and everyone at AA for helping us all out!,,2015-02-23 11:06:05 -0800,Texas,
12221,570259502685151232,positive,0.6236,,,American,,Bishop71Bishop,,0,@AmericanAir if I could fly an md80/dc10 I would be so happy I live that plane so much md80 is love md80 is life.,,2015-02-24 08:30:35 -0800,,
5186,569273230579478529,positive,1.0,,,Southwest,,TimothyJWMusic,,0,@SouthwestAir Great #BlackHistoryMonth commercial! Thx! #ATL #singer #musician #life #BlackLivesMatter,,2015-02-21 15:11:29 -0800,Atlanta,Eastern Time (US & Canada)
6334,568053732929359872,positive,1.0,,,Southwest,,PaytonTaylor129,,1,@SouthwestAir Landed in Nashville! Thanks for taking care of us! http://t.co/RYXbPLgMnK,,2015-02-18 06:25:38 -0800,"Nashville, TN",Quito
4583,569996423074160640,positive,1.0,,,Southwest,,trselbrede,,0,"@SouthwestAir 2/22-MDW 2 SAN flt 1687 attendant Melissa was awesome! Fast, smiling, great. After weather Cancelled Flight day b4, it was welcome",,2015-02-23 15:05:11 -0800,,
4537,570053254836416512,positive,1.0,,,Southwest,,mgkboone,,0,"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1",,2015-02-23 18:51:01 -0800,"Houston, TX",
6117,568212796422406144,positive,1.0,,,Southwest,,DaniMaguina,,0,"@SouthwestAir thank u for not leaving me 
@me nice job running thru the airport to catch your connecting flight",,2015-02-18 16:57:42 -0800,1/3 whenever november ,Central Time (US & Canada)
7217,569879547908206592,positive,1.0,,,Delta,,theprncssleia,,0,@JetBlue Thank you for the free flyfi!! Makes an already great airline even better! #jetblue #Boston #westpalmbeach #flybetter,,2015-02-23 07:20:46 -0800,A Galaxy Far Far Away,
7613,569506389397282816,positive,0.6632,,0.0,Delta,,jjkend,,0,@JetBlue 😭😭😭😭 yall are really better then American Airlines though.,,2015-02-22 06:37:58 -0800,,Mountain Time (US & Canada)
8432,568335451741749248,positive,0.6465,,,Delta,,JetBlueNews,,0,@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO,,2015-02-19 01:05:05 -0800,USA,Sydney
14468,569611482234687488,positive,1.0,,,American,,BikashDube,,0,"@AmericanAir 

Fantastic support by the Twitter team. I appreciate it. Thanks again.",,2015-02-22 13:35:34 -0800,,
2342,569252801802592256,positive,1.0,,,United,,PalenMcDermott,,0,@united I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!,,2015-02-21 13:50:18 -0800,,Eastern Time (US & Canada)
11938,570291157340704769,positive,1.0,,,American,,mpresdenver,,0,@AmericanAir thanks so much!,,2015-02-24 10:36:22 -0800,"Denver, Colorado",Mountain Time (US & Canada)
1851,569555146562080768,positive,0.6633,,,United,,Eivind_G,,0,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam",,2015-02-22 09:51:43 -0800,"Stavanger, Norway",
5140,569312688272052224,positive,0.6526,,,Southwest,,reiokam,,0,@SouthwestAir just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?,"[0.0, 0.0]",2015-02-21 17:48:16 -0800,Los Angeles/SF/Palo Alto,Pacific Time (US & Canada)
4567,570011378091753472,positive,0.6842,,,Southwest,,JReneeX0X0,,0,@SouthwestAir thank you :),,2015-02-23 16:04:37 -0800,Around...,Eastern Time (US & Canada)
1677,569627778892443648,positive,0.7142,,,United,,jesuisJOse,,0,@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!,,2015-02-22 14:40:20 -0800,New York | Chicago,Eastern Time (US & Canada)
5325,569194554290774016,positive,1.0,,,Southwest,,jlog211,,2,@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday,,2015-02-21 09:58:51 -0800,"Louisville, KY",Eastern Time (US & Canada)
378,568437415603507200,positive,0.6618,,,Virgin America,,kzone7,,0,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",,2015-02-19 07:50:15 -0800,"Long Island, NY",Eastern Time (US & Canada)
11308,568221761898209280,positive,1.0,,,US Airways,,bryanjholmes,,0,@USAirways on time today and from PHL! Nice work! #ThereIsAFirstForEverything,,2015-02-18 17:33:19 -0800,"dublin, ohio",Quito
2228,569306599577112577,positive,1.0,,,United,,Pseudonymous,,0,@united thank you! Excited to be working with you guys!,,2015-02-21 17:24:05 -0800,,Pacific Time (US & Canada)
781,570083063331319808,positive,1.0,,,United,,CaseyWoodTV,,0,@united you too!,,2015-02-23 20:49:28 -0800,,Eastern Time (US & Canada)
1020,569962873209937920,positive,0.6729,,,United,,CigarNate,,0,@united ok. I just submitted. Thanks for the opportunity to give feedback.,,2015-02-23 12:51:53 -0800,"Nashville, TN",Central Time (US & Canada)
10685,568979232786939904,positive,1.0,,,US Airways,,iamchristine_d,,0,@USAirways Kudos to Robin at @PHXSkyHarbor Lost/Found for reuniting me w/ my iPad. She was delightful to work with!,,2015-02-20 19:43:14 -0800,"Ptown, VA",Eastern Time (US & Canada)
2591,569012722169466880,positive,0.7021,,,United,,robbshurr,,0,"@United, will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW",,2015-02-20 21:56:19 -0800,"Boulder, CO",Mountain Time (US & Canada)
13494,569849550032101377,positive,1.0,,,American,,sfty1intx,,0,@AmericanAir would also like say kind move on adding the points !,,2015-02-23 05:21:34 -0800,,
8410,568413198518329344,positive,0.6815,,,Delta,,GraceLavigne,,0,@JetBlue Thank you for the JetBlue Credit. Nice save :-),,2015-02-19 06:14:01 -0800,,Eastern Time (US & Canada)
3440,568437450927955969,positive,1.0,,,United,,eghoniem,,0,@united I just want shout out a thank the pilots and staff on the Feb 13 flight from Newark to Boston at 4:40pm.  They were super helpful!,,2015-02-19 07:50:24 -0800,"Winchester, MA",Eastern Time (US & Canada)
12636,570080608996556800,positive,1.0,,,American,,JohnHam2500,,0,@AmericanAir thanks to AA / DART for getting me home in time for work this morning DEN-DFW... didn't have to waste a vaca day @dartmedia,,2015-02-23 20:39:43 -0800,,
2570,569036254253346818,positive,1.0,,,United,,NoviceFlyer,,0,@united  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN,,2015-02-20 23:29:49 -0800,"Tulsa, OK",Central Time (US & Canada)
8010,568877772828880896,positive,1.0,,,Delta,,OneikaTraveller,,0,@JetBlue It was fabulous! Very pleased.,,2015-02-20 13:00:04 -0800,"Hong Kong, SAR",Hong Kong
7385,569630240512876546,positive,0.3715,,0.0,Delta,,rambinasaurus,,0,@JetBlue cool! Are there stairs at JFK? I can walk short distances but not stairs.,,2015-02-22 14:50:07 -0800,,Atlantic Time (Canada)
6817,570233869212856320,positive,1.0,,,Delta,,eatgregeat,,0,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:),"[34.02763089, -118.49627894]",2015-02-24 06:48:43 -0800,,Eastern Time (US & Canada)
303,568815689684815873,positive,1.0,,,Virgin America,,thecompostcook,,0,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,"[37.77465018, -122.44032176]",2015-02-20 08:53:23 -0800,"New York, NY",Eastern Time (US & Canada)
10221,569484387055734784,positive,1.0,,,US Airways,,ibeejd,,0,"@USAirways job well done from your Philly employee running check,in today. (Tabitha?) helped us in an emergency &amp; vacation saved!!!",,2015-02-22 05:10:33 -0800,,America/New_York
